CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs
BME,101,Intro Biomedical Engineering,2437,Biomedical Eng - Engineering,56,15,7,3,4,0,0,0,2,0,0,0,0,0,0,3,"Wang, Zhinan",90
BME,102,Biomed Eng Freshman Seminar,2437,Biomedical Eng - Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,1,"Shokuhfar, Tolou",60
BME,205,Biomed Eng Thermodynamics,2437,Biomedical Eng - Engineering,7,10,11,4,0,0,0,0,0,0,0,0,0,0,0,1,"Penalver Bernabe, Beatriz",33
BME,240,Modeling Data and Systems,2437,Biomedical Eng - Engineering,39,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Avanaki, Kamran",51
BME,250,Clinical Problems Biomed Eng,2437,Biomedical Eng - Engineering,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hetling, John R",25
BME,310,Biosystems Analysis,2437,Biomedical Eng - Engineering,30,6,2,4,0,0,0,1,0,0,0,0,0,0,0,1,"Linninger, Andreas A",44
BME,325,Biotransport,2437,Biomedical Eng - Engineering,22,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,"Peng, Zhangli",42
BME,332,Bioinstrumentation I,2437,Biomedical Eng - Engineering,9,11,9,3,0,0,0,0,0,0,0,0,0,0,0,0,"Wang, Zhinan",32
BME,333,Bioinstrumentation Lab I,2437,Biomedical Eng - Engineering,18,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wang, Zhinan",35
BME,339,Biostatistics I,2437,Biomedical Eng - Engineering,7,10,13,0,1,0,0,0,0,0,0,0,0,0,0,1,"Dai, Yang",32
BME,396,Senior Design I,2437,Biomedical Eng - Engineering,36,29,5,0,0,0,0,0,0,0,0,0,0,0,0,1,"Browne, Michael Gordon",71
BME,410,Medical Device Requirements,2437,Biomedical Eng - Engineering,18,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"Browne, Michael Gordon",29
BME,421,Biomedical Imaging,2437,Biomedical Eng - Engineering,10,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Klatt, Dieter",22
BME,460,Materials in Biomed Eng,2437,Biomedical Eng - Engineering,30,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Shokuhfar, Tolou",46
BME,472,Models of the Nervous System,2437,Biomedical Eng - Engineering,18,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Patton, James",30
BME,480,Intro to Bioinformatics,2437,Biomedical Eng - Engineering,7,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Lin, Meishan",17
BME,481,Bioinformatics Laboratory,2437,Biomedical Eng - Engineering,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lin, Meishan",24
BME,504,Emerging Medical Tech,2437,Biomedical Eng - Engineering,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Layton, Terry N",10
BME,525,Phys & Cellular Biomech Forces,2437,Biomedical Eng - Engineering,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lee, James Chakman",37
BME,534,Advanced Machine Learning,2437,Biomedical Eng - Engineering,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Liao, Wei-Hsun",14
BME,548,Nanoscale Biomedical Eng,2437,Biomedical Eng - Engineering,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,"Papautsky, Ian",15
BME,562,Biomedical Implants,2437,Biomedical Eng - Engineering,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mathew Thoppil, Mathew",14
BME,568,Emerging Optical Imaging Tech,2437,Biomedical Eng - Engineering,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yao, Xincheng",14
BME,576,Sensory Prostheses,2437,Biomedical Eng - Engineering,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Esmailbeigi, Hananeh",14
BME,595,Seminar Biomedical Engineering,2437,Biomedical Eng - Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,"Takoudis, Christos G",30
BME,599,Ph.D. Thesis Research,2437,Biomedical Eng - Engineering,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,"Khetani, Salman",10
BME,599,Ph.D. Thesis Research,2437,Biomedical Eng - Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"Yao, Xincheng",10
CHE,150,Climate Eng for Global Warming,2709,Chemical Engrg,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Singh, Meenesh Rajpal",10
CHE,201,Intro to Thermodynamics,2709,Chemical Engrg,26,13,1,0,1,0,0,0,0,0,0,0,0,0,0,3,"Bilgin, Betul",44
CHE,205,Computational Methods in ChE,2709,Chemical Engrg,26,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Mehraeen, Shafigh",36
CHE,210,Material & Energy Balances,2709,Chemical Engrg,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wedgewood, Lewis E",16
CHE,301,Chem Engr Thermodynamics,2709,Chemical Engrg,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Caracotsios, Michael",12
CHE,311,Transport Phenomena I,2709,Chemical Engrg,4,6,8,2,0,0,0,0,0,0,0,0,0,0,0,3,"Torabi, Korosh",23
CHE,312,Transport Phenomena II,2709,Chemical Engrg,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,"Takoudis, Christos G",11
CHE,321,Chemical Reaction Engr,2709,Chemical Engrg,3,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,"Singh, Meenesh Rajpal",12
CHE,330,Polymer Science,2709,Chemical Engrg,18,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Ibagere, Ezinne Chidiebere",34
CHE,381,Chem Engr Lab I,2709,Chemical Engrg,11,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Zdunek, Alan",32
CHE,396,Senior Design I,2709,Chemical Engrg,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bilgin, Betul",39
CHE,433,Aspen Plus Process Simulation,2709,Chemical Engrg,8,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Caracotsios, Michael",23
CHE,453,Fundamentals Electrochemistry,2709,Chemical Engrg,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Chaplin, Brian P",11
CHE,499,Professional Develpmnt Seminar,2709,Chemical Engrg,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,"Zdunek, Alan",42
CHE,520,Transport Phenomena,2709,Chemical Engrg,2,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,"Wedgewood, Lewis E",12
CHE,595,Seminar In Chem Engr Research,2709,Chemical Engrg,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mehraeen, Shafigh",20
CME,111,The Art of Structural Form,2737,"Civil, Matls & Env Engineering",16,6,8,0,5,0,0,0,0,0,0,0,0,0,0,2,"Foster, Craig",37
CME,112,Evolution of Infrastructure,2737,"Civil, Matls & Env Engineering",42,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Banjavcic, Scott David",51
CME,197,Intro to Civil Environment Eng,2737,"Civil, Matls & Env Engineering",0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,"Ataei, Hossein",20
CME,201,Statics,2737,"Civil, Matls & Env Engineering",68,26,18,11,18,0,0,0,0,0,0,0,0,0,0,4,"Banjavcic, Scott David",145
CME,203,Strength Of Materials,2737,"Civil, Matls & Env Engineering",32,45,19,4,4,0,0,0,0,0,0,0,0,0,0,6,"Karpov, Eduard",110
CME,205,Structural Analysis I,2737,"Civil, Matls & Env Engineering",15,14,8,6,4,0,0,0,0,0,0,0,0,0,0,6,"Chi, Sheng-Wei",53
CME,211,Fluid Mechanics and Hydraulics,2737,"Civil, Matls & Env Engineering",15,24,7,3,4,0,0,0,1,0,0,0,0,0,0,1,"Abokifa, Ahmed",55
CME,260,Properties Of Materials,2737,"Civil, Matls & Env Engineering",38,41,19,5,0,0,0,0,0,0,0,0,0,0,0,5,"Kadkhodaei, Sara",108
CME,261,Materials For Manufacturing,2737,"Civil, Matls & Env Engineering",13,18,17,1,0,0,0,0,0,0,0,0,0,0,0,4,"Karpov, Eduard",53
CME,290,Engineering Surveying,2737,"Civil, Matls & Env Engineering",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Peiravian, Farideddin",31
CME,297,Civil Env Eng Drawing Design,2737,"Civil, Matls & Env Engineering",40,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Peiravian, Farideddin",45
CME,300,Concrete Properties&Compositn,2737,"Civil, Matls & Env Engineering",11,18,9,0,3,0,0,0,0,0,0,0,0,0,0,2,"Issa, Mohsen",43
CME,301,Behav & Dsgn Metal Struct,2737,"Civil, Matls & Env Engineering",13,19,17,4,0,0,0,0,0,0,0,0,0,0,0,0,"Iranmanesh, Amirhossein",53
CME,302,Transportation Engr,2737,"Civil, Matls & Env Engineering",20,26,11,4,1,0,0,0,0,0,0,0,0,0,0,0,"Zou, Bo",62
CME,310,Reinforc Concrete Struc Design,2737,"Civil, Matls & Env Engineering",20,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"Iranmanesh, Amirhossein",37
CME,311,Water Resources Engineering,2737,"Civil, Matls & Env Engineering",38,20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Schulenberg, Joseph W",63
CME,315,Soil Mechanics & Lab,2737,"Civil, Matls & Env Engineering",24,18,3,2,1,0,0,0,0,0,0,0,0,0,0,1,"Reddy, Krishna R",49
CME,322,Environmental Engineering,2737,"Civil, Matls & Env Engineering",11,14,17,6,1,0,0,0,1,0,0,0,0,0,0,1,"Khodadoust, Amid",51
CME,396,Civil Engr Systems Design,2737,"Civil, Matls & Env Engineering",85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Ataei, Hossein",94
CME,402,Highway Design,2737,"Civil, Matls & Env Engineering",24,14,4,0,0,0,0,0,1,0,0,0,0,0,0,0,"Peiravian, Farideddin",43
CME,405,Foundation Dsgn& Analysis,2737,"Civil, Matls & Env Engineering",23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Schulenberg, Joseph W",29
CME,409,Structural Analysis II,2737,"Civil, Matls & Env Engineering",7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ansari, Farhad",18
CME,419,Structural Loads Determination,2737,"Civil, Matls & Env Engineering",14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Mahamid, Mustafa",17
CME,422,Wastewater Treatment,2737,"Civil, Matls & Env Engineering",4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"Stabryla, Lisa",11
CME,427,Engineering Hydrology,2737,"Civil, Matls & Env Engineering",5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Burke, Christopher B.",14
CME,434,Finite Element Analysis I,2737,"Civil, Matls & Env Engineering",6,2,11,6,3,0,0,0,0,0,0,0,0,0,0,2,"Foster, Craig",30
CME,440,Cities and Sustainability,2737,"Civil, Matls & Env Engineering",14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Derrible, Sybil Jean Marie",24
CME,441,City Logistics,2737,"Civil, Matls & Env Engineering",3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lin, Jie",10
CME,481,Risk Mgmt in Construction,2737,"Civil, Matls & Env Engineering",3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Karatas, Aslihan",14
CME,485,Construction Engrg Management,2737,"Civil, Matls & Env Engineering",14,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"Ataei, Hossein",34
CME,493,Seminar,2737,"Civil, Matls & Env Engineering",16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iranmanesh, Amirhossein",19
CME,494,Intro to AI for Civil Engineer,2737,"Civil, Matls & Env Engineering",6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abokifa, Ahmed",13
CME,502,Bridge Design II,2737,"Civil, Matls & Env Engineering",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Issa, Mohsen",14
CME,508,Urban Travel Forecasting,2737,"Civil, Matls & Env Engineering",11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mohammadian, Abolfazl",16
CME,516,Landfills And Impoundment,2737,"Civil, Matls & Env Engineering",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reddy, Krishna R",16
CME,518,Pollution Prevention,2737,"Civil, Matls & Env Engineering",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Khodadoust, Amid",11
CME,573,Nanostructured Materials,2737,"Civil, Matls & Env Engineering",7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Daly, Matthew",10
CME,585,Construction Engrg Project,2737,"Civil, Matls & Env Engineering",7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Ataei, Hossein",15
CME,587,Construction Estimating & Sch,2737,"Civil, Matls & Env Engineering",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Karatas, Aslihan",16
CME,591,Civil &Material Eng Internship,2737,"Civil, Matls & Env Engineering",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"Ataei, Hossein",10
CS,100,Discovering Computer Science,2699,Computer Science,21,12,5,3,4,0,0,0,0,0,0,0,0,0,0,2,"Bell, John T",47
CS,107,Intro Comp & Programming,2699,Computer Science,47,67,48,17,11,0,0,0,0,0,0,0,0,0,0,9,"Kidane, Ellen G",199
CS,109,Prog for Engineers w/MatLab,2699,Computer Science,70,87,52,14,12,0,0,0,1,0,0,0,0,0,0,11,"Riazi, Zeinab",247
CS,111,Program Design I,2699,Computer Science,36,5,2,4,2,0,0,0,0,0,0,0,0,0,0,3,"Bello Lander, Gonzalo Alejandro",52
CS,111,Program Design I,2699,Computer Science,51,41,20,9,7,0,0,0,0,0,0,0,0,0,0,7,"Dey, Drishika",135
CS,111,Program Design I,2699,Computer Science,43,35,18,8,4,0,0,0,0,0,0,0,0,0,0,4,"Franke, Baker E",112
CS,112,Program Design I Bio Problems,2699,Computer Science,20,31,20,5,9,0,0,0,0,0,0,0,0,0,0,18,"Troy, Patrick A",103
CS,141,Program Design II,2699,Computer Science,94,65,51,19,16,0,0,0,1,0,0,0,0,0,0,19,"Hodges, Mark Richard",265
CS,151,Foundations of Computing,2699,Computer Science,88,62,57,17,7,0,0,0,0,0,0,0,0,0,0,9,"Katok, Zoa",240
CS,151,Foundations of Computing,2699,Computer Science,60,32,45,18,11,0,0,0,1,0,0,0,0,0,0,6,"Reckinger, Shanon Marie",173
CS,211,Programming Practicum,2699,Computer Science,56,58,17,7,7,0,0,0,0,0,0,0,0,0,0,12,"Hayes, David P",157
CS,211,Programming Practicum,2699,Computer Science,121,85,21,3,9,0,0,0,0,0,0,0,0,0,0,7,"Reckinger, Scott J",246
CS,251,Data Structures,2699,Computer Science,60,75,16,1,1,0,0,0,0,0,0,0,0,0,0,9,"Ayala Rodriguez, Daniel",162
CS,251,Data Structures,2699,Computer Science,74,64,46,9,12,0,0,0,1,0,0,0,0,0,0,22,"Ordentlich, Ethan",228
CS,261,Machine Organization,2699,Computer Science,61,76,62,20,6,0,0,0,0,0,0,0,0,0,0,8,"Koehler, Adam Thomas",233
CS,261,Machine Organization,2699,Computer Science,15,26,26,5,3,0,0,0,1,0,0,0,0,0,0,3,"Theys, Mitchell D",79
CS,277,Technical Comm in Comp Sci,2699,Computer Science,96,19,7,3,0,0,0,0,0,0,0,0,0,0,0,1,"Carson, Jordan Marie",126
CS,277,Technical Comm in Comp Sci,2699,Computer Science,114,13,7,1,1,0,0,0,0,0,0,0,0,0,0,0,"Cranch, Cody Ingersoll",136
CS,294,Technical Interview Prep,2699,Computer Science,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,"Kanich, Chris",16
CS,294,Undergraduate TA Seminar,2699,Computer Science,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cranch, Cody Ingersoll",62
CS,301,Languages and Automata,2699,Computer Science,118,20,6,0,1,0,0,0,0,0,0,0,0,0,0,2,"DasGupta, Bhaskar",147
CS,301,Languages and Automata,2699,Computer Science,57,50,29,7,1,0,0,0,0,0,0,0,0,0,0,2,"Ibrahim, Omar",146
CS,341,Programming Language Concepts,2699,Computer Science,64,64,53,23,12,0,0,0,0,0,0,0,0,0,0,9,"Solworth, Jon A",225
CS,342,Software Design,2699,Computer Science,67,92,58,25,9,0,0,0,0,0,0,0,0,0,0,5,"Hallenbeck, Mark",256
CS,361,Systems Programming,2699,Computer Science,75,87,44,20,7,0,0,0,0,0,0,0,0,0,0,7,"Maratos, George P",240
CS,362,Computer Design,2699,Computer Science,127,88,17,2,2,0,0,0,0,0,0,0,0,0,0,2,"McCarty, Evan",238
CS,362,Computer Design,2699,Computer Science,4,20,6,3,1,0,0,0,0,0,0,0,0,0,0,1,"Theys, Mitchell D",35
CS,377,Ethical Issues in Computing,2699,Computer Science,77,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"Burton, Emanuelle Neuman",90
CS,377,Ethical Issues in Computing,2699,Computer Science,81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Clayville, Kristel",90
CS,377,Ethical Issues in Computing,2699,Computer Science,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Grad Asst,29
CS,377,Ethical Issues in Computing,2699,Computer Science,19,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,"Harmon, Zaccheus D",30
CS,378,Framework-based Development,2699,Computer Science,21,23,14,8,1,0,0,0,1,0,0,0,0,0,0,2,"Buy, Ugo A",70
CS,411,Artificial Intelligence I,2699,Computer Science,55,20,7,0,0,0,0,0,1,0,0,0,0,0,0,3,"Gmytrasiewicz, Piotr",86
CS,412,Intro to Machine Learning,2699,Computer Science,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,3,"GU, Zhaochen",156
CS,415,Computer Vision I,2699,Computer Science,49,37,3,1,0,0,0,0,0,0,0,0,0,0,0,1,"Tang, Wei",91
CS,418,Introduction to Data Science,2699,Computer Science,75,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,"Ravi, Sathya",90
CS,418,Introduction to Data Science,2699,Computer Science,65,29,4,0,1,0,0,0,0,0,0,0,0,0,0,1,"Ziebart, Brian D",100
CS,421,Language Processing,2699,Computer Science,70,11,3,3,0,0,0,0,0,0,0,0,0,0,0,2,"Parde, Natalie",89
CS,421,Language Processing,2699,Computer Science,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Zhang, Xinhua",11
CS,422,User Interface Design,2699,Computer Science,71,35,5,0,0,0,0,0,0,0,0,0,0,0,0,6,"Kerne, Andrew",117
CS,423,Natural User Interactions,1434,Siebel School Comp & Data Sci,11,20,5,4,0,0,0,0,0,0,0,0,0,0,0,0,"Soni, Nikita Nandish",40
CS,440,Software Engr I,2699,Computer Science,58,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bell, John T",116
CS,441,Cloud Computing Objects,2699,Computer Science,38,10,4,4,1,0,0,0,0,0,0,0,0,0,0,10,"Grechanik, Mark",67
